,ID,CT_CS,CT_Temp,CT_RT,log_CT_CS,LMP,LMP_Model,Prediction,diff
0,9Cr-001,206.843,650.0,665.8,5.331960051387256,20.439180161281595,20.4756430613416,629.479039467868,36.32096053213195
1,9Cr-001,189.606,650.0,1187.5,5.244948234889831,20.74326596500586,20.851743598340718,1004.9739193287552,182.5260806712448
2,9Cr-001,172.36900000000003,650.0,1454.0,5.149637527675897,21.0763544370473,20.983347877760753,1677.6691064524464,-223.66910645244639
3,9Cr-001,155.132,650.0,2344.0,5.044276367405948,21.44456687521605,21.293749197952987,2956.145037978076,-612.1450379780758
4,9Cr-001,153.753,650.0,3469.0,5.035347418691389,21.47577144783131,21.54855407053034,3101.522445220386,367.4775547796139
5,9Cr-001,137.895,650.0,5388.0,4.926492525983828,21.856193657948914,21.834754199394666,5568.6799940259225,-180.6799940259225
6,9Cr-001,120.65799999999999,650.0,12730.0,4.7929600973738316,22.32285804345023,22.393615849508446,11416.997450682811,1313.0025493171888
7,9Cr-001,103.421,650.0,25234.0,4.638808036230939,22.861583187865254,22.838365920816997,26151.62065401504,-917.6206540150415
54,9Cr-024,360.0,500.0,277.0,5.886104031450156,18.502577475123694,17.099957361492105,4579.099918503203,-4302.099918503203
55,9Cr-024,340.0,500.0,875.4,5.8289456176102075,18.702332668289202,17.675289070776834,6827.870514129023,-5952.470514129023
56,9Cr-024,320.0,500.0,2333.4,5.768320995793772,18.9142014418951,18.165489463593318,10430.668782595003,-8097.268782595003
57,9Cr-024,300.0,500.0,4971.3,5.703782474656201,19.139748371740826,18.543666935550366,16376.44869779861,-11405.14869779861
58,9Cr-024,290.0,500.0,8840.0,5.66988092298052,19.258226309609235,18.831469686214284,20755.268611587795,-11915.268611587795
59,9Cr-024,270.0,500.0,36035.8,5.598421958998375,19.50795855714204,19.53408269227363,34201.33295170391,1834.4670482960937
60,9Cr-024,250.0,500.0,123442.1,5.521460917862246,19.776919268357954,20.14971235800144,58567.85759750185,64874.24240249816
61,9Cr-024,240.0,550.0,498.8,5.480638923341991,19.91958252391344,19.133456336831518,2082.918999316277,-1584.1189993162773
62,9Cr-024,220.0,550.0,2635.1,5.393627546352362,20.223666791661486,20.048915495244003,3620.639840677486,-985.5398406774862
63,9Cr-024,200.0,550.0,10778.3,5.298317366548036,20.556753420530573,20.823653042159325,6634.364042456937,4143.935957543063
64,9Cr-024,180.0,550.0,35101.8,5.19295685089021,20.924963605931787,21.47304769884298,12958.291825410673,22143.50817458933
65,9Cr-024,170.0,550.0,53387.5,5.135798437050262,21.124718799097295,21.70367602257063,18632.868389959942,34754.63161004006
66,9Cr-024,160.0,550.0,93701.3,5.075173815233827,21.33658757270319,22.013070507446326,27389.04431600303,66312.25568399698
67,9Cr-024,160.0,575.0,11680.6,5.075173815233827,21.33658757270319,21.816409558990568,5070.585662985677,6610.014337014323
68,9Cr-024,150.0,575.0,16538.1,5.0106352940962555,21.562134502548915,22.01635860080112,7506.068723502746,9032.031276497251
69,9Cr-024,140.0,575.0,29159.7,4.941642422609304,21.803248337679292,22.342453066010407,11416.278385155118,17743.421614844883
70,9Cr-024,160.0,600.0,696.0,5.075173815233827,21.33658757270319,21.07274812627878,1080.395083244023,-384.395083244023
71,9Cr-024,140.0,600.0,2777.1,4.941642422609304,21.803248337679292,21.903035828122892,2351.597145489751,425.5028545102491
72,9Cr-024,120.0,600.0,14286.8,4.787491742782046,22.341968654721533,22.885793117894362,5771.672666724801,8515.127333275199
73,9Cr-024,110.0,600.0,24417.9,4.700480365792417,22.64605292246958,23.20738137940667,9580.876128066646,14837.023871933356
74,9Cr-024,100.0,600.0,35639.1,4.605170185988092,22.979139551338662,23.43425750732251,16691.730599794777,18947.36940020522
75,9Cr-024,80.0,600.0,92020.8,4.382026634673881,23.75897370351128,24.00340028053846,61229.984360835086,30790.815639164917
76,9Cr-024,140.0,625.0,208.2,4.941642422609304,21.803248337679292,21.196497733111087,549.6601199549631,-341.4601199549631
77,9Cr-024,120.0,625.0,1214.6,4.787491742782046,22.341968654721533,22.29879206266272,1301.4738483420729,-86.87384834207296
78,9Cr-024,100.0,625.0,5340.3,4.605170185988092,22.979139551338662,23.224333954342733,3607.3404607471584,1732.9595392528418
79,9Cr-024,90.0,625.0,11233.0,4.499809670330265,23.34734973673988,23.689067731524027,6501.982191846642,4731.017808153358
80,9Cr-024,80.0,625.0,27018.1,4.382026634673881,23.75897370351128,24.237599692222418,12562.364878724711,14455.735121275287
81,9Cr-024,70.0,625.0,41449.6,4.248495242049359,24.22563446848738,24.505081704458007,26505.77553070964,14943.824469290357
82,9Cr-024,100.0,650.0,628.5,4.605170185988092,22.979139551338662,22.762501609137665,877.1036477968896,-248.60364779688962
83,9Cr-024,80.0,650.0,4472.3,4.382026634673881,23.75897370351128,24.038010953749318,2911.34373844833,1560.9562615516702
84,9Cr-024,70.0,650.0,12280.7,4.248495242049359,24.22563446848738,24.69459292308497,5968.850595593963,6311.849404406038
85,9Cr-024,60.0,650.0,23321.1,4.0943445622221,24.764354785529626,25.111457166874107,13672.067276809476,9649.032723190523
86,9Cr-024,50.0,650.0,59498.1,3.912023005428146,25.401525682146755,25.720237968780957,36438.20399154565,23059.89600845435
87,9Cr-024,40.0,650.0,67319.9,3.6888794541139363,26.181359834319373,25.800520446777604,120948.23376638658,-53628.33376638658
88,9Cr-024,60.0,700.0,430.6,4.0943445622221,24.764354785529626,24.248753761209,899.4221277429549,-468.8221277429549
89,9Cr-024,50.0,700.0,1299.0,3.912023005428146,25.401525682146755,25.021673063427233,2235.0002409188824,-936.0002409188824
90,9Cr-024,40.0,700.0,3354.4,3.6888794541139363,26.181359834319373,25.6857477888574,6809.3054461739675,-3454.9054461739674
91,9Cr-024,30.0,700.0,9668.5,3.4011973816621555,27.186740916337715,26.426767972001272,28632.682589609,-18964.182589609
92,9Cr-025,360.0,500.0,239.2,5.886104031450156,18.502577475123694,17.033808397268707,4513.545103848595,-4274.3451038485955
93,9Cr-025,340.0,500.0,938.5,5.8289456176102075,18.702332668289202,17.717299814243752,6730.122093259076,-5791.622093259076
94,9Cr-025,320.0,500.0,2334.1,5.768320995793772,18.9142014418951,18.172849214645538,10281.34237108701,-7947.24237108701
95,9Cr-025,300.0,500.0,6165.8,5.703782474656201,19.139748371740826,18.65854497222098,16142.001955383825,-9976.201955383825
96,9Cr-025,290.0,500.0,10507.5,5.66988092298052,19.258226309609235,18.925080669670105,20458.134281445466,-9950.634281445466
97,9Cr-025,270.0,500.0,40858.8,5.598421958998375,19.50795855714204,19.60409713591283,33711.703530531035,7147.096469468968
98,9Cr-025,260.0,550.0,202.0,5.560681631015528,19.639852114011077,18.64422145842418,1234.6036334997605,-1032.6036334997605
99,9Cr-025,240.0,550.0,796.8,5.480638923341991,19.91958252391344,19.39900626330223,2053.0997397738092,-1256.2997397738093
100,9Cr-025,220.0,550.0,3487.6,5.393627546352362,20.223666791661486,20.211007229608033,3568.8064284543507,-81.20642845435077
101,9Cr-025,200.0,550.0,13640.8,5.298317366548036,20.556753420530573,20.961125544240684,6539.385877993423,7101.414122006577
102,9Cr-025,180.0,550.0,40142.3,5.19295685089021,20.924963605931787,21.5547764809419,12772.779730463246,27369.520269536755
103,9Cr-025,170.0,550.0,68755.1,5.135798437050262,21.124718799097295,21.850742631881133,18366.118536161863,50388.98146383814
104,9Cr-025,160.0,550.0,108407.8,5.075173815233827,21.33658757270319,22.10118465146872,26996.940244098583,81410.85975590142
105,9Cr-025,160.0,575.0,12491.5,5.075173815233827,21.33658757270319,21.86329426705672,4997.994693309699,7493.505306690301
