,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,V,B,N,O,S,Zr,Homo,Weighted_AN,log_CT_CS
9Cr-076_7,-0.21163042159487613,0.0,0.0,0.0,0.0,0.0,0.0,1.4931638747170244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9680757389554218,11.381289248753292
9Cr-047_6,-1.9635705051013381,0.0,0.0,0.0,0.0,0.0,0.0,-1.227031501280504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.010231579713909,-2.0718606070424888
9Cr-025_12,-1.9773645266777429,0.0,0.0,0.0,0.0,0.0,0.0,0.013188387119334753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7888477461685675,-16.617123420387156
9Cr-044_12,0.9714764208869318,0.0,0.0,0.0,0.0,0.0,0.0,-1.4371460125539421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7407230487523337,-28.67312346123578
9Cr-035_40,-3.3101712848936153,0.0,0.0,0.0,0.0,0.0,0.0,-0.8404260382958262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8791929993013021,-81.53395107825412
9Cr-032_33,-0.21163042159487613,0.0,0.0,0.0,0.0,0.0,0.0,1.4931638747170244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9680757389554218,11.381289248753292
9Cr-054_7,-1.9635705051013381,0.0,0.0,0.0,0.0,0.0,0.0,-1.227031501280504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.010231579713909,-2.0718606070424888
9Cr-065_23,0.9714764208869318,0.0,0.0,0.0,0.0,0.0,0.0,-1.4371460125539421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7407230487523337,-28.67312346123578
9Cr-078_5,1.3824262203595568,0.0,0.0,0.0,0.0,0.0,0.0,-0.8404260382958262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244958036950523,-39.69549817163456
9Cr-051_13,-3.3101712848936153,0.0,0.0,0.0,0.0,0.0,0.0,-0.8404260382958262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8791929993013021,-81.53395107825412
9Cr-038_20,-1.7861815282498223,0.0,0.0,0.0,0.0,0.0,0.0,-0.8404260382958262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8025295506473293,0.0
9Cr-031_21,0.9714764208869318,0.0,0.0,0.0,0.0,0.0,0.0,-1.4371460125539421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7407230487523337,-28.67312346123578
9Cr-043_13,-3.3101712848936153,0.0,0.0,0.0,0.0,0.0,0.0,-0.8404260382958262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8791929993013021,-81.53395107825412
9Cr-073_17,-1.7861815282498223,0.0,0.0,0.0,0.0,0.0,0.0,-0.8404260382958262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8025295506473293,0.0
9Cr-070_22,-2.8608279134587833,0.0,0.0,0.0,0.0,0.0,0.0,2.817471733473461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4585292329835751,22.76888952216731
9Cr-024_12,-2.0462518695803116,0.0,0.0,0.0,0.0,0.0,0.0,-2.5718070007620026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.240012838572395,-44.10959961879522
9Cr-032_14,1.3691092477386615,0.0,0.0,0.0,0.0,0.0,0.0,-2.5718070007620026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.979461152664865,29.65679828524908
9Cr-030_14,-2.8608279134587833,0.0,0.0,0.0,0.0,0.0,0.0,2.817471733473461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4585292329835751,22.76888952216731
9Cr-064_3,-2.0462518695803116,0.0,0.0,0.0,0.0,0.0,0.0,-2.5718070007620026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.240012838572395,-44.10959961879522
9Cr-066_5,1.3691092477386615,0.0,0.0,0.0,0.0,0.0,0.0,-2.5718070007620026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.979461152664865,29.65679828524908
9Cr-024_21,1.5951598377636713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.451759555421666,0.0
9Cr-071_7,6.25306976357345,0.0,0.0,0.0,-8.588297997805373,0.0,0.0,43.028190341799906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.092684809278876,-33.11579399628384
9Cr-074_25,6.25306976357326,0.0,0.0,0.0,-8.588297997805373,0.0,0.0,41.76294273889573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0926848092796915,-30.75263185517945
9Cr-052_6,6.25306976357326,0.0,0.0,0.0,2.0127461196856,0.0,0.0,6.940332205337079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0926848092796915,-52.153289402888966
9Cr-073_23,6.25306976357345,0.0,0.0,0.0,2.0127461196856,0.0,0.0,2.2680401212486645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.89001895096899
9Cr-072_22,6.554451395858536,0.0,0.0,0.0,2.0127461196856,0.0,0.0,-1.6304439450526165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.183200397444354,-18.993631859795915
9Cr-061_3,3.5808609587186995,0.0,0.0,0.0,2.0127461196856,0.0,0.0,15.96585414680147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.183200397444354,-28.18687045871136
9Cr-038_19,3.5808609587186995,0.0,0.0,0.0,2.0127461196856,0.0,0.0,15.965854146801881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.183200397444354,22.09063660989947
9Cr-062_3,2.147080023330671,0.0,0.0,0.0,2.0127461196856,0.0,0.0,-7.160825889642265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.56770399063208
