ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,AGS,TT Temp,YS,UTS,Elong,RA,CT Temp,CS,RT,EL,RA_2,MCR,0.1% CS,0.2% CS,0.5% CS,1.0% CS,2.0% CS,5.0% CS,TTC
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,,,,,,650,103.421,25234,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,23.9,830,986,24,61,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,150,794,924,17.0418,55,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,250,763,877,20,65,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,300,754,859,17.92605,65,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,450,681,778,21,66,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,500,635,727,20.09646,71,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,600,477,554,27.09003,78,,,,,,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,,,,,,650,206.843,498.9,24.2,79.1,,,,,,,,
2,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,1,1150,700,,,6,,,,,,,650,172.369,1513.5,23.8,80.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,23.9,842.29,998.3,19.7,62.5,,,,,,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,200,775,899,16.55949,60,,,,,,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,300,743,851,19,63,,,,,,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,450,690,783,17.0418,60,,,,,,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,500,633,716,27,72,,,,,,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,550,568,649,24.39711,74,,,,,,,,,,,,,
3,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,1,1150,700,,,6.5,,650,385,447,42,89,,,,,,,,,,,,,
