,descriptors,params,aic,bic,Model df,n_data,R-squared
0,"['const', 'CT_Temp']","{'const': 70129.53836721904, 'CT_Temp': -92.26962122319085}",44656.48482278032,44667.61018527377,1.0,1925.0,0.048349424013288456
1,"['const', 'CT_CS']","{'const': 21078.78481954276, 'CT_CS': -37.77913867093053}",44711.72497586246,44722.85033835591,1.0,1925.0,0.02064508119960007
2,"['const', 'CT_Temp', 'CT_CS']","{'const': 195058.871093817, 'CT_Temp': -261.34308140095726, 'CT_CS': -151.94876982433084}",44275.64574261366,44292.333786353825,2.0,1925.0,0.21997928178750592
