ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,V,B,N,S,Homo,Normal,Temper1,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC,Weighted_AN,Weighted_AW,Weighted_BP,Weighted_DP,Weighted_EH,Weighted_HF,Weighted_MP
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,140,898.1,51,69,0.0015,17,271,482,656,369,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,120,2536.3,46,57,0.00039,506,1130,1460,1840,1070,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,100,6555,39,43,0.00021,838,2420,3270,4510,2480,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,80,16874.4,24,34,1.2e-05,4860,6640,8920,12700,4050,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,60,56585.6,20,24,2.5e-05,12100,23100,35500,46600,19300,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,120,112.9,67,72,0.024,2,20,36,58,26,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,100,334.9,59,68,0.0049,49,75,100,154,63,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,80,1406.3,54,61,0.0018,149,233,351,652,185,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,70,3837.6,39,43,0.0005,618,1160,1750,2610,1090,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,69.4,2833.4,36,48,0.0014,263,524,881,1590,585,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,60,5961.9,31,35,0.0004,763,1570,2520,3960,1620,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,50,12934.6,24,22,0.00012,2740,4990,7230,10100,4560,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,40,23764.9,20,15,6.8e-05,4530,8540,13000,18700,8070,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,750,30,61646.5,19,14,3e-05,12700,23600,35800,49600,24300,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,80,187.9,60,64,0.021,15,29,49,90,28,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,70,385.6,51,62,0.0076,40,79,126,210,74,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,60,671,47,59,0.0054,60,124,204,351,132,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,50,1505.1,34,41,0.0014,240,393,578,900,331,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,40,3460.8,29,31,0.00059,550,913,1390,2200,751,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,30,8249.1,23,19,0.00028,1240,2200,3550,5670,1850,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,20,25986.2,25,17,9.5e-05,3410,7160,11800,18700,7970,25.909739999999996,55.621644954919475,3011.54844824,64.606924,345.644473,414.9736497000001,1861.872298
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,314,416.3,12,21,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,265,3674.6,22,33,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,216,24620.5,18,29,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,196,45407.2,19,29,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,176,74273.3,20,26,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,157,123114,23,28,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,137,195221.6,16,29,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,265,153.8,34,54,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,235,738,26,43,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,216,1840.7,22,34,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,176,5906.5,23,37,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,137,15411.8,21,37,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,108,44276.6,18,32,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,88,106841.5,17,27,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,650,78,171094.7,16,22,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,216,58.4,38,63,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,176,356.4,22,41,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,137,1116.5,31,46,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,98,4892.7,28,41,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,78,16581.2,22,30,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,61,47219.1,27,27,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,53,90260.7,18,19,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,700,47,142590.9,22,16,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,750,137,57,49,66,,,,,,,25.889191999999998,55.56302313071458,3007.0759168,64.34439759999998,345.58796199999995,414.6501904600001,1857.4257573599998
