,ID,CT_CS,CT_Temp,CT_RT,log_CT_CS,LMP,LMP_Model,LMP_Model_2,Prediction,C,diff
0,9Cr-001,206.843,650.0,665.8,5.331960051387256,20.439180161281595,20.4756430613416,20.4756430613416,629.479039467868,25.0,36.32096053213195
1,9Cr-001,189.606,650.0,1187.5,5.244948234889831,20.74326596500586,20.851743598340718,20.851743598340718,1004.9739193287552,25.0,182.5260806712448
2,9Cr-001,172.36900000000003,650.0,1454.0,5.149637527675897,21.0763544370473,20.983347877760753,20.983347877760753,1677.6691064524464,25.0,-223.66910645244639
3,9Cr-001,155.132,650.0,2344.0,5.044276367405948,21.44456687521605,21.293749197952987,21.293749197952987,2956.145037978076,25.0,-612.1450379780758
4,9Cr-001,153.753,650.0,3469.0,5.035347418691389,21.47577144783131,21.54855407053034,21.54855407053034,3101.522445220386,25.0,367.4775547796139
5,9Cr-001,137.895,650.0,5388.0,4.926492525983828,21.856193657948914,21.834754199394666,21.834754199394666,5568.6799940259225,25.0,-180.6799940259225
6,9Cr-001,120.65799999999999,650.0,12730.0,4.7929600973738316,22.32285804345023,22.393615849508446,22.393615849508446,11416.997450682811,25.0,1313.0025493171888
7,9Cr-001,103.421,650.0,25234.0,4.638808036230939,22.861583187865254,22.838365920816997,22.838365920816997,26151.62065401504,25.0,-917.6206540150415
54,9Cr-024,360.0,500.0,277.0,5.886104031450156,18.502577475123694,17.099957361492105,15.31200875309367,4579.099918503203,28.575897216796875,-4302.099918503203
55,9Cr-024,340.0,500.0,875.4,5.8289456176102075,18.702332668289202,17.675289070776834,15.887340462378397,6827.870514129023,28.575897216796875,-5952.470514129023
56,9Cr-024,320.0,500.0,2333.4,5.768320995793772,18.9142014418951,18.165489463593318,16.37754085519488,10430.668782595003,28.575897216796875,-8097.268782595003
57,9Cr-024,300.0,500.0,4971.3,5.703782474656201,19.139748371740826,18.543666935550366,16.75571832715193,16376.44869779861,28.575897216796875,-11405.14869779861
58,9Cr-024,290.0,500.0,8840.0,5.66988092298052,19.258226309609235,18.831469686214284,17.043521077815846,20755.268611587795,28.575897216796875,-11915.268611587795
59,9Cr-024,270.0,500.0,36035.8,5.598421958998375,19.50795855714204,19.53408269227363,17.74613408387519,34201.33295170391,28.575897216796875,1834.4670482960937
60,9Cr-024,250.0,500.0,123442.1,5.521460917862246,19.776919268357954,20.14971235800144,18.361763749603004,58567.85759750185,28.575897216796875,64874.24240249816
61,9Cr-024,240.0,550.0,498.8,5.480638923341991,19.91958252391344,19.133456336831518,17.166712867593237,2082.918999316277,28.575897216796875,-1584.1189993162773
62,9Cr-024,220.0,550.0,2635.1,5.393627546352362,20.223666791661486,20.048915495244003,18.082172026005722,3620.639840677486,28.575897216796875,-985.5398406774862
63,9Cr-024,200.0,550.0,10778.3,5.298317366548036,20.556753420530573,20.823653042159325,18.856909572921044,6634.364042456937,28.575897216796875,4143.935957543063
64,9Cr-024,180.0,550.0,35101.8,5.19295685089021,20.924963605931787,21.47304769884298,19.506304229604698,12958.291825410673,28.575897216796875,22143.50817458933
65,9Cr-024,170.0,550.0,53387.5,5.135798437050262,21.124718799097295,21.70367602257063,19.73693255333235,18632.868389959942,28.575897216796875,34754.63161004006
66,9Cr-024,160.0,550.0,93701.3,5.075173815233827,21.33658757270319,22.013070507446326,20.046327038208045,27389.04431600303,28.575897216796875,66312.25568399698
67,9Cr-024,160.0,575.0,11680.6,5.075173815233827,21.33658757270319,21.816409558990568,19.760268659332365,5070.585662985677,28.575897216796875,6610.014337014323
68,9Cr-024,150.0,575.0,16538.1,5.0106352940962555,21.562134502548915,22.01635860080112,19.960217701142916,7506.068723502746,28.575897216796875,9032.031276497251
69,9Cr-024,140.0,575.0,29159.7,4.941642422609304,21.803248337679292,22.342453066010407,20.286312166352204,11416.278385155118,28.575897216796875,17743.421614844883
70,9Cr-024,160.0,600.0,696.0,5.075173815233827,21.33658757270319,21.07274812627878,18.92720979620065,1080.395083244023,28.575897216796875,-384.395083244023
71,9Cr-024,140.0,600.0,2777.1,4.941642422609304,21.803248337679292,21.903035828122892,19.757497498044767,2351.597145489751,28.575897216796875,425.5028545102491
72,9Cr-024,120.0,600.0,14286.8,4.787491742782046,22.341968654721533,22.885793117894362,20.740254787816237,5771.672666724801,28.575897216796875,8515.127333275199
73,9Cr-024,110.0,600.0,24417.9,4.700480365792417,22.64605292246958,23.20738137940667,21.061843049328544,9580.876128066646,28.575897216796875,14837.023871933356
74,9Cr-024,100.0,600.0,35639.1,4.605170185988092,22.979139551338662,23.43425750732251,21.288719177244385,16691.730599794777,28.575897216796875,18947.36940020522
75,9Cr-024,80.0,600.0,92020.8,4.382026634673881,23.75897370351128,24.00340028053846,21.857861950460336,61229.984360835086,28.575897216796875,30790.815639164917
76,9Cr-024,140.0,625.0,208.2,4.941642422609304,21.803248337679292,21.196497733111087,18.961561972613044,549.6601199549631,28.575897216796875,-341.4601199549631
77,9Cr-024,120.0,625.0,1214.6,4.787491742782046,22.341968654721533,22.29879206266272,20.063856302164673,1301.4738483420729,28.575897216796875,-86.87384834207296
78,9Cr-024,100.0,625.0,5340.3,4.605170185988092,22.979139551338662,23.224333954342733,20.989398193844686,3607.3404607471584,28.575897216796875,1732.9595392528418
79,9Cr-024,90.0,625.0,11233.0,4.499809670330265,23.34734973673988,23.689067731524027,21.45413197102598,6501.982191846642,28.575897216796875,4731.017808153358
80,9Cr-024,80.0,625.0,27018.1,4.382026634673881,23.75897370351128,24.237599692222418,22.00266393172437,12562.364878724711,28.575897216796875,14455.735121275287
81,9Cr-024,70.0,625.0,41449.6,4.248495242049359,24.22563446848738,24.505081704458007,22.27014594395996,26505.77553070964,28.575897216796875,14943.824469290357
82,9Cr-024,100.0,650.0,628.5,4.605170185988092,22.979139551338662,22.762501609137665,20.438168418219696,877.1036477968896,28.575897216796875,-248.60364779688962
