ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,V,B,N,S,Homo,Normal,Temper1,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,70,385.6,51,62,0.0076,40,79,126,210,74
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,60,671,47,59,0.0054,60,124,204,351,132
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,50,1505.1,34,41,0.0014,240,393,578,900,331
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,40,3460.8,29,31,0.00059,550,913,1390,2200,751
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,30,8249.1,23,19,0.00028,1240,2200,3550,5670,1850
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,800,20,25986.2,25,17,9.5e-05,3410,7160,11800,18700,7970
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,314,416.3,12,21,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,265,3674.6,22,33,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,216,24620.5,18,29,,,,,,
AUS_002,66.5264,0.07,17.85,1.71,0.6,12,0.29,0.04,,0.74,0.019,0.02,0.05,0.019,0.031,0.0012,0.0284,0.005,0,,,5.4,600,196,45407.2,19,29,,,,,,
